0,1,2
1996 National League Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,Atlanta,14
ERA,Los Angeles,3.46
Fewest Hits Allowed,Montreal,"1,353"
Fewest Home Runs Allowed,Florida,113
Fewest Walks Allowed,Atlanta,451
Saves,Cincinnati,52
Shutouts,Florida,13
Strikeouts,Atlanta,"1,245"
"Seasonal Events:All-Star Game|Draft|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. Leaderboard|Retirements|Rookies ListAverage Salary: $1,176,967.00Minimum Salary: $109,000.00",,
