0,1,2
2001 National League Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,Arizona,12
ERA,Atlanta,3.59
Fewest Hits Allowed,Arizona,"1,352"
Fewest Home Runs Allowed,San Francisco,145
Fewest Walks Allowed,New York,438
Saves,Houston,48
New York,,
Shutouts,New York,14
Strikeouts,Chicago,"1,344"
"Seasonal Events:All-Star Game|All-Star Game|All-Star Game|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. LeaderboardRetirements|Rookies ListAverage Salary: $2,654,403.00Minimum Salary: $200,000.00",,
