0,1,2
1997 National League Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,Montreal,27
ERA,Atlanta,3.18
Fewest Hits Allowed,Atlanta,"1,319"
Fewest Home Runs Allowed,Atlanta,111
Fewest Walks Allowed,Atlanta,450
Saves,New York,49
Shutouts,Atlanta,17
Strikeouts,Los Angeles,"1,232"
"Seasonal Events:All-Star Game|Draft|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. Leaderboard|Retirements|Rookies ListAverage Salary: $1,383,578.00Minimum Salary: $150,000.00",,
