0,1,2,3,4,5,6
2024 National League Team Standings2024 All-Star Game| 2024 Team Standings |2024 World Series,,,,,,
East,Team | Roster,W,L,T,WP,GB
Philadelphia Phillies,95,67,0,.586,-,
Atlanta Braves,89,73,0,.549,6.0,
New York Mets,89,73,0,.549,6.0,
Washington Nationals,71,91,0,.438,24.0,
Miami Marlins,62,100,0,.383,33.0,
Central,Team | Roster,W,L,T,WP,GB
Milwaukee Brewers,93,69,0,.574,-,
Chicago Cubs,83,79,0,.512,10.0,
St. Louis Cardinals,83,79,0,.512,10.0,
Cincinnati Reds,77,85,0,.475,16.0,
Pittsburgh Pirates,76,86,0,.469,17.0,
West,Team | Roster,W,L,T,WP,GB
Los Angeles Dodgers,98,64,0,.605,-,
San Diego Padres,93,69,0,.574,5.0,
Arizona Diamondbacks,89,73,0,.549,9.0,
San Francisco Giants,80,82,0,.494,18.0,
Colorado Rockies,61,101,0,.377,37.0,
N.L.,Team | Roster,W,L,T,WP,GB
2024 National League Standings,,,,,,
