0,1,2
1999 National League Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,Arizona,16
ERA,Atlanta,3.65
Fewest Hits Allowed,Cincinnati,"1,309"
Fewest Home Runs Allowed,Houston,128
Fewest Walks Allowed,Houston,478
Saves,Cincinnati,55
Shutouts,Houston,5
Strikeouts,Houston,"1,204"
"Seasonal Events:All-Star Game|Draft|Home Run Derby|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. Leaderboard|Retirements|Rookies ListAverage Salary: $1,720,050.00Minimum Salary: $200,000.00",,
