0,1,2
2004 National League Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,Montreal,11
ERA,Atlanta,3.74
Fewest Hits Allowed,Chicago,"1,363"
Fewest Home Runs Allowed,Pittsburgh,149
Fewest Walks Allowed,San Diego,422
Saves,St. Louis,57
Shutouts,Florida,14
Strikeouts,Chicago,"1,346"
"Seasonal Events:All-Star Game|All-Star Game|All-Star Game|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. LeaderboardRetirements|Rookies ListAverage Salary: $2,486,609.00Minimum Salary: $300,000.00",,
