0,1,2
1944 National League Team ReviewPitching Statistics League Leaderboard,,
Statistic,Team,#
Complete Games,Cincinnati,93
ERA,St. Louis,2.68
Fewest Hits Allowed,St. Louis,"1,228"
Fewest Home Runs Allowed,Philadelphia,49
Fewest Walks Allowed,Cincinnati,390
Saves,New York,21
Shutouts,St. Louis,26
Strikeouts,St. Louis,637
Statistic,Team,#
Seasonal Events:All-Star Game|World SeriesNavigation:Year in Review Menu|Previous Season|Next SeasonMiscellaneous:A.L. LeaderboardRetirements|Rookies List,,
